,id,name,host_id,City,host_name,minimum_nights,number_of_reviews,last_review,calculated_host_listings_count,availability_365,Construction year,cancellation_policy,country,instant_bookable,price,review rate number,room type,service_fee
47,14290,* ORIGINAL BROOKLYN LOFT *,56104,New York,James,1,148,08-14-2022,1,121,2013.0,strict,United States,True,175.0,2.0,Entire home/apt,35.0
48,14314,Greenpoint Place...Has It All!,56246,New York,Jeanne,30,179,08-16-2020,1,98,2012.0,strict,United States,True,408.0,1.0,Entire home/apt,82.0
49,57166,Elegant NYC Pad,272006,New York,Vasili,3,104,08-28-2022,1,302,2019.0,strict,United States,False,601.0,3.0,Entire home/apt,120.0
50,103161,Cozy+equipped+super dedicated workspace PRIME WBG,465278,New York,Ade,10,145,06-30-2022,1,364,2011.0,flexible,United States,False,107.0,4.0,Private room,21.0
51,57297,"Clean & bright 1BR in Cobble Hill, GREAT location!",199392,New York,S.M.,7,269,08-08-2022,1,4,2011.0,flexible,United States,True,724.0,4.0,Entire home/apt,145.0
52,57618,"Great new apt, close to everything",274557,New York,Ana,3,122,07-06-2022,1,0,2019.0,strict,United States,False,450.0,4.0,Private room,90.0
53,15220,Best Location in NYC! TIMES SQUARE!,59734,New York,Luiz,2,382,08-28-2022,2,283,2015.0,strict,United States,False,327.0,4.0,Entire home/apt,65.0
54,15341,"* Bright, One Bedroom in Doorman Elevator Bldg *",60049,New York,Ted,30,32,06-05-2022,1,257,2007.0,flexible,United States,True,538.0,1.0,Private room,108.0
55,103555,Clean&Serene in Scenic Fort Greene,220001,New York,Gordon,1,281,05-09-2022,1,249,2007.0,flexible,United States,False,252.0,1.0,Private room,50.0
56,15385,"Very, very cozy place",60252,New York,Cristina,7,49,02-07-2020,1,190,2017.0,strict,United States,False,131.0,4.0,Private room,26.0
57,15396,Sunny & Spacious Chelsea Apartment,60278,New York,Petra,90,5,11-03-2018,1,114,2005.0,strict,United States,False,444.0,1.0,Private room,89.0
58,57754,Stylish Large SPARKLING Gramercy Loft!,275578,New York,R,2,170,08-31-2022,1,191,2010.0,strict,United States,False,1089.0,5.0,Entire home/apt,218.0
59,57874,The Brownstone-Luxury 1 Bd Apt/NYC,276291,New York,Simon,3,340,08-23-2022,2,218,2017.0,strict,United States,True,518.0,2.0,Entire home/apt,104.0
60,58059,Private Room on Historic Sugar Hill,277379,New York,Agnes,1,615,08-21-2022,2,235,2015.0,flexible,United States,True,396.0,4.0,Entire home/apt,79.0
61,105469,surf/stay regular,547386,New York,Michelle,2,17,09-17-2021,1,90,2020.0,flexible,United States,False,813.0,5.0,Entire home/apt,163.0
62,58062,South Slope Green,277394,New York,Linda,2,25,02-16-2020,1,0,2017.0,moderate,United States,False,111.0,3.0,Entire home/apt,22.0
63,59014,"Spacious 1BR, Adorable Clean Quiet",282927,New York,Drica,30,58,06-11-2022,1,342,2020.0,strict,United States,True,908.0,2.0,Entire home/apt,182.0
64,16326,Comfortable 4-bedroom apt in family house.,63588,New York,Dimitri,30,154,11-06-2021,1,134,2008.0,moderate,United States,True,823.0,5.0,Entire home/apt,165.0
65,106363,Bright Room With A Great River View,551055,New York,Alicia,5,442,08-31-2022,2,272,2011.0,flexible,United States,True,186.0,4.0,Private room,37.0
66,16338,Double Room w  Deck Clinton Hill Best Area,63613,New York,Patricia,21,29,02-28-2021,2,271,2021.0,strict,United States,False,84.0,1.0,Private room,17.0
67,16580,"Sunny, Modern room in East Village!",64442,New York,Reka,2,473,08-14-2022,2,134,2018.0,moderate,United States,False,241.0,4.0,Private room,48.0
68,59709,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 4",186084,New York,Ricardo & Ashlie,7,53,09-01-2022,2,42,2017.0,strict,United States,False,54.0,3.0,Entire home/apt,11.0
69,106647,Tree lined block modern apartment,552679,New York,Olivia,2,123,07-04-2022,1,38,2020.0,strict,United States,True,656.0,5.0,Entire home/apt,131.0
70,60164,"Beautiful, elegant 3 bed SOHO loft",289653,New York,Harrison,30,109,08-07-2022,1,326,2018.0,flexible,United States,True,509.0,5.0,Entire home/apt,102.0
71,106906,Sunny Top Floor Fort Greene Two Bedroom,553964,New York,Justine,45,12,01-05-2016,1,262,2016.0,flexible,United States,False,1198.0,5.0,Entire home/apt,240.0
72,16595,Full Floor Loft ~ Six Windows ~ Home Theater ~ Tub,64522,New York,Ariel,1,237,08-21-2022,1,341,2011.0,moderate,United States,True,1127.0,3.0,Private room,225.0
73,107630,Sweet Historic Greenpoint Duplex,306739,New York,Maya,3,320,08-21-2022,2,95,2006.0,flexible,United States,False,595.0,1.0,Entire home/apt,119.0
74,107895,Riverside Charm with Fire Place,3088389,New York,Kai,90,63,05-15-2022,1,330,2010.0,moderate,United States,False,1076.0,3.0,Private room,215.0
75,16821,Large WFH Room in Amazing E. Village Apt (Room A),4396,New York,Casey,1,162,08-19-2022,2,30,2008.0,strict,United States,False,956.0,5.0,Private room,191.0
76,16974,SpaHa Loft: Enormous and Bright,65837,New York,Robin,5,254,08-05-2022,1,42,2015.0,moderate,United States,True,81.0,1.0,Entire home/apt,16.0
77,17037,Lovely EV Artist's Home,66035,New York,Anna,30,53,03-18-2020,1,103,2014.0,strict,United States,True,1067.0,4.0,Entire home/apt,213.0
78,17693,"HARLEM, NYC,STILL WELCOMES YOU!! xx",68428,New York,Tye And Etienne,2,63,08-23-2022,2,319,2008.0,strict,United States,False,794.0,2.0,Entire home/apt,159.0
79,18152,Manhattan Room,69942,New York,Victoria,30,148,09-01-2019,1,365,2008.0,moderate,United States,True,842.0,4.0,Entire home/apt,168.0
80,60181,Sunny East Village Apartment with rooftop,128806,New York,Sue,31,38,08-01-2022,1,0,2019.0,moderate,United States,False,1164.0,1.0,Private room,233.0
81,60457,Spacious Greenwich Village Apt,99212,New York,Jessica,30,10,08-21-2019,1,0,2022.0,strict,United States,False,1127.0,2.0,Entire home/apt,225.0
82,110576,Historic House of Music & Art NYC!,568103,New York,Liah,45,53,09-04-2020,1,311,2015.0,strict,United States,True,368.0,5.0,Private room,74.0
83,60611,SpaHa Studio Monthly Rental,292204,New York,Blanca,30,192,08-31-2022,3,86,2012.0,moderate,United States,False,850.0,4.0,Entire home/apt,170.0
84,18728,Beautiful Meatpacking District Loft,71876,New York,DAVID And RICK,4,221,09-04-2022,1,279,2006.0,moderate,United States,True,1003.0,1.0,Entire home/apt,201.0
85,112304,Cozy Private Room in West Harlem!,573316,New York,Kelli,30,1,01-02-2016,1,0,2022.0,moderate,United States,False,968.0,5.0,Private room,194.0
86,18961,Cozy Studio in Great Location!,70857,New York,Fabian,30,1,03-22-2016,1,0,2020.0,moderate,United States,True,643.0,2.0,Private room,129.0
87,19159,Spacious luminous apt Upper West NYC,73051,New York,Sybilla,180,58,09-01-2020,1,333,2019.0,flexible,United States,False,960.0,1.0,Private room,192.0
88,60673,Private Room/bath Luxurious Harlem,249372,New York,Cynthia,30,3,10-20-2019,1,0,2004.0,flexible,United States,True,961.0,1.0,Entire home/apt,192.0
89,60680,"Bright, High Ceiling, Spacious & Cozy 1BR - Enjoy!",292630,New York,Mich,30,165,08-03-2022,2,328,2010.0,strict,United States,False,544.0,4.0,Entire home/apt,109.0
90,112435,ALL ABOUT A VERY COMFORTABLE ROOM..,181376,New York,Carol,30,177,02-16-2020,2,343,2015.0,flexible,United States,True,523.0,5.0,Entire home/apt,105.0
91,60794,"Bright and spacious, garden below!",293394,New York,Rachel,30,4,08-25-2017,1,0,2011.0,strict,United States,False,614.0,4.0,Private room,123.0
92,19812,2 bedroom Williamsburg Apt - Bedford L stop,74857,New York,Starlee,30,61,08-09-2018,1,280,2013.0,moderate,United States,True,178.0,2.0,Entire home/apt,36.0
93,20913,Charming 1 bed GR8 WBurg LOCATION!,79402,New York,Christiana,30,168,07-22-2018,1,0,2008.0,moderate,United States,False,61.0,3.0,Entire home/apt,12.0
94,61509,"Quiet, clean midtown apt w. elevato",23619,New York,Anna/Fonzy,200,92,04-30-2019,1,0,2019.0,strict,United States,True,901.0,3.0,Private room,180.0
95,62427,Great East Village Apartment Rental,303882,New York,Brie,30,62,08-21-2022,1,165,2012.0,moderate,United States,True,1189.0,4.0,Private room,238.0
96,113265,Brooklyn- Crown Heights Garden Apt.,314582,New York,Anthony,30,273,07-31-2022,2,326,2008.0,strict,United States,False,783.0,4.0,Private room,157.0
97,62891,Smallest House In The Village,306545,New York,Olivia,4,215,08-22-2022,2,243,2009.0,strict,United States,True,69.0,4.0,Entire home/apt,14.0
98,21456,Light-filled classic Central Park,42032,New York,Dana,30,85,09-12-2021,1,243,2003.0,moderate,United States,True,784.0,4.0,Entire home/apt,157.0
99,115535,Sun-Drenched Hamilton Hts Jewel,567187,New York,Jane,30,34,10-30-2019,1,239,2009.0,strict,United States,False,55.0,5.0,Entire home/apt,11.0
100,116551,Beautiful Harlem Studio Apartment - private access,497672,New York,Cynthia And  Charlie,30,173,07-01-2022,1,45,2008.0,moderate,United States,False,989.0,3.0,Entire home/apt,198.0
101,21644,"Upper Manhattan, New York",82685,New York,Elliott,30,3,10-21-2019,1,0,2004.0,flexible,United States,False,1029.0,1.0,Private room,206.0
102,21794,COZY QUIET monthly room 4 DOOGLERS!,83257,New York,Olan,30,36,01-19-2020,2,282,2015.0,strict,United States,False,291.0,3.0,Entire home/apt,58.0
103,63610,DOMINIQUE'S mini guest suite Efficiency pad* Metro,310670,New York,Vie,2,53,08-27-2022,6,360,2005.0,flexible,United States,False,787.0,3.0,Entire home/apt,157.0
104,118061,Style in Stuyvesant Heights,2248897,New York,Roberta,30,89,08-06-2022,1,254,2007.0,moderate,United States,True,725.0,5.0,Entire home/apt,145.0
105,63657,"Private, Large & Sunny Top Floor Apt  w/W&D",170510,New York,Renée,30,268,12-08-2019,2,0,2022.0,moderate,United States,True,612.0,1.0,Entire home/apt,122.0
106,23135,House On Henry (3rd FLR Suite),11481,New York,Annette,3,285,08-27-2022,3,334,2017.0,strict,United States,False,1080.0,3.0,Private room,216.0
107,23686,West Village outdoor living private townhouse,93790,New York,Ann,5,55,07-24-2022,2,23,2017.0,flexible,United States,False,824.0,1.0,Entire home/apt,165.0
108,121687,Spacious Brooklyn Loft,262812,New York,Vikram,30,57,08-12-2021,1,29,2011.0,flexible,United States,True,1038.0,5.0,Entire home/apt,208.0
109,64000,Williamsburg loft bunk bed   l,312722,New York,Kris & Di,30,14,01-07-2019,3,310,2014.0,flexible,United States,True,72.0,1.0,Private room,14.0
110,121861,"Park Slope Apt:, Spacious 2 bedroom",611716,New York,Elizabeth,2,28,08-01-2022,2,74,2013.0,moderate,United States,True,162.0,5.0,Entire home/apt,32.0
111,64107,BROOKLYN  STUDIO APARTMENT,313317,New York,Niya,3,308,01-03-2020,1,1,2006.0,flexible,United States,False,701.0,4.0,Entire home/apt,140.0
112,24285,Beautiful Duplex Apartment,97797,New York,Brandon,30,93,08-09-2022,1,81,2021.0,moderate,United States,True,566.0,5.0,Private room,113.0
113,25406,"Modern Brooklyn Apt., August sublet",105538,New York,Erik,30,29,05-26-2018,1,0,2021.0,flexible,United States,False,50.0,4.0,Private room,10.0
114,25696,"1,800 sq foot in luxury building",107628,New York,Dena,1,190,01-01-2020,1,0,2015.0,moderate,United States,True,671.0,5.0,Private room,134.0
115,123784,NYC Studio for Rent in Townhouse,617990,New York,Christopher,3,223,08-24-2022,1,265,2006.0,flexible,United States,False,575.0,3.0,Entire home/apt,115.0
116,26785,Park Slope Green Guest House,42273,New York,Dani,30,479,05-31-2022,3,129,2011.0,strict,United States,True,99.0,2.0,Private room,20.0
117,64314,cozy bedroom in lovely garden apt,314256,New York,Debbie,30,45,02-22-2020,1,306,2012.0,moderate,United States,False,52.0,5.0,Entire home/apt,10.0
118,125163,Authentic New York City Living,622855,New York,Desmond,3,62,08-23-2022,2,325,2019.0,moderate,United States,True,964.0,5.0,Entire home/apt,193.0
119,65268,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,319092,New York,Juhli,5,63,01-05-2019,1,162,2004.0,flexible,United States,False,68.0,4.0,Private room,14.0
120,27644,Sugar Hill Rest Stop,119510,New York,Emma,2,232,09-06-2022,1,283,2017.0,moderate,United States,True,549.0,5.0,Entire home/apt,110.0
121,126443,"Massive Duplex, 2BR & 2BTH East Village 9+ Guests",627217,New York,Seith,2,516,09-05-2022,3,255,2011.0,flexible,United States,False,438.0,3.0,Private room,88.0
122,65425,Entire 2 Bedroom Apartment,314941,New York,Tony,1,11,09-05-2022,2,350,2006.0,moderate,United States,True,490.0,5.0,Entire home/apt,98.0
123,126816,Gorgeous Upper West Side Apartment,620288,New York,Eric,30,3,11-06-2014,1,0,2013.0,strict,United States,True,1137.0,4.0,Private room,227.0
124,65615,Farmhouse Apartment in Williamsburg,320761,New York,Valerie,10,56,09-05-2020,1,0,2016.0,flexible,United States,False,1170.0,2.0,Entire home/apt,234.0
125,27883,East Village Sanctuary,120223,New York,Jen,30,25,12-10-2011,1,0,2011.0,strict,United States,True,753.0,2.0,Entire home/apt,151.0
126,127387,"Luxe, Spacious 2BR 2BA Nr Trains",23276,New York,Katharine,30,3,08-04-2014,1,221,2014.0,strict,United States,True,369.0,2.0,Entire home/apt,74.0
127,28907,Garden studio in the Upper East Sid,124352,New York,Lisa,30,21,08-15-2017,1,250,2022.0,strict,United States,True,508.0,4.0,Entire home/apt,102.0
128,29628,"Comfortable, Sunny Room",127608,New York,Chris,3,325,08-31-2022,1,251,2003.0,flexible,United States,True,443.0,4.0,Entire home/apt,89.0
129,65660,Bright+Spacious Williamsburg Abode!,320538,New York,Larissa,30,162,06-26-2022,2,82,2005.0,strict,United States,False,947.0,1.0,Private room,189.0
130,132516,Forest Hills 1 BR / 20 mins to city / ⭐️⭐️⭐️⭐️⭐️ BED,85330,New York,Jean,5,69,08-30-2022,3,212,2021.0,flexible,United States,False,857.0,3.0,Entire home/apt,171.0
131,65813,"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",321756,New York,Eric,3,20,01-02-2019,1,244,2018.0,flexible,United States,False,861.0,3.0,Private room,172.0
132,29683,Stylish Apartment with office space Near SoHo!,125857,New York,Uli,30,118,03-05-2022,2,304,2010.0,strict,United States,True,536.0,1.0,Private room,107.0
133,31130,Most Central Location!,117287,New York,Lara Nicole,28,68,10-01-2021,4,254,2017.0,moderate,United States,True,690.0,5.0,Private room,138.0
134,132661,Time Square  Shared APT.,651818,New York,Lucio,8,81,06-19-2022,1,41,2003.0,flexible,United States,False,971.0,2.0,Entire home/apt,194.0
135,66008,CHARMING CARROLL GARDENS APT.,322884,New York,Melissa,30,68,03-22-2020,1,218,2008.0,strict,United States,False,696.0,5.0,Entire home/apt,139.0
136,133025,Midtown cozy convenient,653405,New York,Tracy,30,145,08-31-2022,1,26,2014.0,flexible,United States,False,1188.0,4.0,Entire home/apt,238.0
137,66251,East Village Loft with Piano & Patio,324460,New York,Samir,3,144,08-25-2022,1,49,2013.0,moderate,United States,True,1083.0,5.0,Private room,217.0
138,134934,Prime Williamsburg Apartment,652842,New York,Giovanni,5,27,12-07-2019,1,0,2010.0,flexible,United States,True,586.0,1.0,Entire home/apt,117.0
139,135465,Garden apartment close to Manhattan,663879,New York,Christopher,3,119,08-28-2022,1,265,2017.0,strict,United States,True,608.0,2.0,Entire home/apt,122.0
140,66741,Charming Garden Apt in Park Slope,327673,New York,Stefano,2,281,09-05-2022,2,252,2015.0,strict,United States,False,964.0,2.0,Entire home/apt,193.0
141,31555,Luminous Beautiful West Village Studio,135619,New York,Tom,30,32,03-27-2021,1,0,2010.0,strict,United States,True,154.0,4.0,Entire home/apt,31.0
142,136493,"Historical home w/ exceptional space, light & art",663384,New York,Irena,5,35,08-21-2022,1,0,2008.0,strict,United States,True,132.0,3.0,Private room,26.0
143,31902,Sanctuary in East Flatbush,137292,New York,Sunder,30,4,10-14-2019,1,0,2015.0,flexible,United States,False,779.0,2.0,Private room,156.0
144,66974,"Lovely, Modern, Garden Apartment",329436,New York,Jana,2,194,08-21-2022,2,242,2014.0,moderate,United States,True,619.0,1.0,Entire home/apt,124.0
145,139624,"Spacious,Sunny, private one bedroom",680818,New York,Jessica,90,80,09-21-2021,1,0,2018.0,moderate,United States,True,1155.0,2.0,Private room,231.0
146,67288,Central Park 1BR sunny condo,101597,New York,Per,28,42,07-23-2022,1,20,2008.0,flexible,United States,False,874.0,5.0,Entire home/apt,175.0
147,31994,Room with En Suite Bathroom & Deck,137814,New York,Waldemar,2,513,08-11-2022,2,296,2009.0,strict,United States,True,589.0,5.0,Entire home/apt,118.0
148,33009,Retreat in Williamsburg,143027,New York,Ming,4,284,07-30-2022,1,272,2018.0,strict,United States,False,725.0,3.0,Entire home/apt,145.0
149,140133,Truly Amazing Oasis In The City,622866,New York,Daniel,30,178,06-26-2022,1,241,2010.0,moderate,United States,True,811.0,5.0,Entire home/apt,162.0
150,67299,Cozy Garden Apartment  in Williamsburg,330347,New York,Adrienne,30,74,06-26-2022,1,119,2019.0,strict,United States,False,935.0,5.0,Entire home/apt,187.0
151,140973,East Village Charmer,686147,New York,Dave,30,82,08-19-2022,1,264,2016.0,flexible,United States,True,465.0,5.0,Entire home/apt,93.0
152,67397,SoHa comfort-by NW Central Park!,332189,New York,Elise,30,105,12-31-2019,1,0,2012.0,moderate,United States,False,256.0,3.0,Private room,51.0
153,33156,"Sunny, Clean Zen Home w pr.Bath",128669,New York,Alex,120,20,10-14-2020,1,163,2007.0,flexible,United States,False,1196.0,5.0,Private room,239.0
154,141154,Affordable Furnished Apartment,686768,New York,Mark,30,263,03-11-2020,1,187,2003.0,moderate,United States,True,448.0,1.0,Private room,90.0
155,36647,Private Bedrm w your own Bathrm-Elevator Apartment,157798,New York,Irene,7,59,08-29-2022,1,276,2021.0,moderate,United States,False,920.0,5.0,Entire home/apt,184.0
156,141335,Architect's Brownstone,687361,New York,Orna,1,39,08-21-2022,2,353,2017.0,strict,United States,True,805.0,1.0,Private room,161.0
157,142069,"EAST VILLAGE STUDIO, sunny & quiet",277747,New York,Josh,30,22,11-10-2014,1,0,2008.0,flexible,United States,False,859.0,2.0,Entire home/apt,172.0
158,36703,"Sunny, clean 1 bdrm in W. Village",158284,New York,Karene,14,141,06-01-2022,1,230,2008.0,moderate,United States,False,691.0,3.0,Private room,138.0
159,36934,Great location in Williamsburg,159370,New York,Viviana,6,27,12-27-2018,1,3,2006.0,flexible,United States,True,693.0,4.0,Private room,139.0
160,144087,LUXURY OF THE HORIZON,616825,New York,Rinaldo & Jessa,6,29,07-24-2022,2,108,2010.0,strict,United States,True,747.0,5.0,Entire home/apt,149.0
161,38663,Luxury Brownstone in Boerum Hill,165789,New York,Sarah,3,39,09-04-2022,1,222,2020.0,flexible,United States,False,906.0,3.0,Entire home/apt,181.0
162,144148,1 Bdrm in 4 Bdrm dupelx/roof deck,299755,New York,Jonathan,30,32,01-05-2016,1,0,2013.0,moderate,United States,False,999.0,1.0,Private room,200.0
163,39572,1 br in a 2 br apt (Midtown West),169927,New York,Hubert,30,44,01-03-2019,2,6,2022.0,flexible,United States,False,252.0,5.0,Entire home/apt,50.0
164,148201,NYC - Sunny Greenwich Village 1br,715807,New York,John,30,18,05-31-2013,1,0,2017.0,moderate,United States,False,718.0,2.0,Private room,144.0
165,68735,Prewar Penthouse w Private Terrace,342054,New York,Violetta,15,34,01-13-2022,1,323,2017.0,moderate,United States,True,857.0,5.0,Private room,171.0
166,39593,"A Lovely, Private Room w/ a Manhattan View",110506,New York,Myung,30,29,12-22-2019,1,183,2004.0,flexible,United States,False,839.0,2.0,Private room,168.0
167,148259,Garage Studio Designer Loft,716064,New York,Mihalis,3,90,09-03-2022,1,327,2021.0,flexible,United States,True,1126.0,5.0,Entire home/apt,225.0
168,148825,Best City Area Columbia U Upper West Side C Park,718349,New York,B.,3,269,08-29-2022,2,205,2020.0,strict,United States,True,166.0,2.0,Entire home/apt,33.0
